merchant_id,template_id,family,source
07izq8-pk.myshopify.com,70bdfaa2-a74a-4577-bf78-bfa24dbf64d7,order-confirmation,wave-1-20260711T121442Z
08e8df.myshopify.com,1c180d67-156a-4887-b74c-2b1f0d4ea0ea,order-confirmation,wave-3-20260711T121516Z
0a01uy-b1.myshopify.com,b2dd7e07-8ab4-427e-9086-ac9437ac043a,order-confirmation,wave-3-20260711T121516Z
0a80ir-jd.myshopify.com,4cc6f261-0922-4687-8a8e-8baa700fb98b,order-confirmation,wave-5-20260711T121540Z
0cbevi-bk.myshopify.com,0fb03343-839d-449e-85b6-2f785c707eee,order-confirmation,wave-1-20260711T121442Z
0dzec0-g5.myshopify.com,c615f9b5-eb59-4fb2-b25a-61c49cc5291c,order-confirmation,wave-5-20260711T121540Z
0e6dyn-ic.myshopify.com,b592ccd3-14f9-4db0-b215-3753ce438f33,order-confirmation,pre-existing
0ef4q1-qp.myshopify.com,9c9aeed3-13a1-453e-ba24-229be69b3408,order-confirmation,wave-2-20260711T121505Z
0itd6c-wr.myshopify.com,c328107a-725f-49d0-9092-0cebd37e4b27,order-confirmation,wave-3-20260711T121516Z
0jvr18-db.myshopify.com,32d416aa-3006-427d-bb59-224ebfc3c180,order-confirmation,pre-existing
0n0frr-0u.myshopify.com,a35e0963-a5d8-43b7-943e-4e054eced0c4,order-confirmation,wave-2-20260711T121505Z
0nadgr-k8.myshopify.com,6dcc5ae5-46f9-47e5-8ce0-4e45ffef323b,order-confirmation,wave-1-20260711T121442Z
0neczs-a9.myshopify.com,734aac6f-e397-4d0a-8b6d-4b62e7ed714f,order-confirmation,wave-2-20260711T121505Z
0ngtzs-1s.myshopify.com,b22a2392-e421-4857-abfc-59a594b0cec8,order-confirmation,wave-4-20260711T121529Z
0qgd2p-kg.myshopify.com,375ae3ad-2edc-433b-a934-4f793feb3f78,order-confirmation,wave-3-20260711T121516Z
0sdtvw-0v.myshopify.com,e670b296-1955-4be2-a062-aad6cdcf6345,order-confirmation,wave-5-20260711T121540Z
0u7z3v-ak.myshopify.com,758a97c3-c77e-4bd8-8794-fd97e8fa9abe,order-confirmation,wave-2-20260711T121505Z
0uukg9-kt.myshopify.com,5caeb7ca-e3fd-454c-b7be-3d9368490c0d,order-confirmation,wave-5-20260711T121540Z
0vmnwf-1q.myshopify.com,823f10ba-62af-414d-a147-011f0efddb58,order-confirmation,wave-1-20260711T121442Z
0xc0cc-de.myshopify.com,d5b6e3d4-54c9-4ec2-bcbd-a0924bcee9b1,order-confirmation,wave-2-20260711T121505Z
10t0fk-bi.myshopify.com,9182f2bc-6346-4ecb-a75f-c60ce37d7416,order-confirmation,wave-5-20260711T121540Z
11ndud-1j.myshopify.com,4f79c29f-08f5-42c9-9c03-c870c19d0f2d,order-confirmation,pre-existing
11nj4r-c1.myshopify.com,c2e6f757-869d-4539-9ba4-2d7a57afa63a,order-confirmation,wave-1-20260711T121442Z
13d70c-2.myshopify.com,de4ee626-ee8b-46a3-9d51-ff47d85d2a0a,order-confirmation,pre-existing
14fev1-yj.myshopify.com,3184dabd-78d0-4ddf-a27f-73d4cf04bf32,order-confirmation,wave-3-20260711T121516Z
1d1x19-du.myshopify.com,8f702bcf-9d46-4976-ad55-b29ec5168128,order-confirmation,wave-3-20260711T121516Z
1dfy89-jp.myshopify.com,e8309bda-de81-4905-b277-42e9022e2620,order-confirmation,wave-3-20260711T121516Z
1esd1t-ut.myshopify.com,21401cdb-71d2-4459-8e38-e69cf7e2d727,order-confirmation,wave-5-20260711T121540Z
1esezk-p5.myshopify.com,361ac760-029a-4b0f-8a29-5341732bad08,order-confirmation,wave-3-20260711T121516Z
1k1ihf-yk.myshopify.com,ee2af0a8-bd66-47cc-a48d-d93277cf80cf,order-confirmation,wave-4-20260711T121529Z
1mitfu-1z.myshopify.com,72313324-db60-4b4a-80a2-3520051f9f13,order-confirmation,wave-1-20260711T121442Z
1natdc-73.myshopify.com,ce0ef814-8523-4d1e-9598-b5997abbf949,order-confirmation,wave-4-20260711T121529Z
1qjf1e-j1.myshopify.com,99cc926c-3eb1-4b6f-9f9d-f697ba4a995b,order-confirmation,wave-4-20260711T121529Z
1rvdwx-ma.myshopify.com,4dbac787-bac9-4c00-97cd-10ff1ca0f842,order-confirmation,wave-3-20260711T121516Z
1s5cxv-jj.myshopify.com,b470f33d-c23e-4330-8447-2a390640da7c,order-confirmation,wave-4-20260711T121529Z
1vyjef-u4.myshopify.com,16e6a00e-d98b-427b-b171-eda8e7f3afc1,order-confirmation,wave-1-20260711T121442Z
1wqgky-wn.myshopify.com,aa897f3e-09db-4334-81e2-eeecbe8b22f7,order-confirmation,wave-1-20260711T121442Z
1ycrad-r0.myshopify.com,700de857-d24e-44e5-96e4-21b46fca4329,order-confirmation,wave-3-20260711T121516Z
23e96b.myshopify.com,fea54300-128c-4585-ac05-230901636374,order-confirmation,wave-4-20260711T121529Z
2aa4e8-76.myshopify.com,963a183a-81f4-4a57-b765-d6fad6b407bc,order-confirmation,wave-4-20260711T121529Z
2cffb3-2.myshopify.com,71bf86b9-cf5a-4b80-a4e0-4e295be921b3,order-confirmation,wave-2-20260711T121505Z
2d7xqc-uz.myshopify.com,39feaeaf-e152-4874-957d-c1e8f693fd8d,order-confirmation,wave-5-20260711T121540Z
2h63sy-vy.myshopify.com,95ffa835-7f92-41a7-b594-dd98e9cb40b2,order-confirmation,wave-5-20260711T121540Z
2hwrui-hg.myshopify.com,947230c2-f3dd-4d89-aca7-57e5113549c5,order-confirmation,pre-existing
2kdmqa-23.myshopify.com,1959cbc2-5224-48bb-b4f4-65eb70606512,order-confirmation,wave-5-20260711T121540Z
2nakig-4d.myshopify.com,c387b8d1-e6c1-4d1b-9360-20149639b92f,order-confirmation,wave-5-20260711T121540Z
2pm4y0-qw.myshopify.com,afc30900-18a8-4d47-8432-1e6fd5dee217,order-confirmation,wave-2-20260711T121505Z
